0 0.0 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
200 0.01 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
400 0.02 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
600 0.03 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
800 0.04 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
1000 0.05 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
1200 0.06 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
1400 0.07 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
1600 0.08 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
1800 0.09 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 0.0 0.0 0.0 0.0 0.0 0.0
2000 0.1 -0.065 -0.065 -0.065 -0.065 -0.065 -0.065 4.8 0.004799999999660031 4.8 0.004799999999660031 4.8 0.004799999999660031
2200 0.11 -0.05489952 -0.06091866 -0.05785422 -0.06270359 2.695634 0.1573673 4.8 0.9647999999996054 4.8 0.9647999999996054 4.8 0.9647999999996054
2400 0.12 0.007587762 -0.05301072 -0.05788813 -0.05741667 4.408919 0.8649915 4.8 1.9247999999995509 4.8 1.9247999999995509 4.8 1.9247999999995509
2600 0.13 0.1343769 -0.03785445 -0.05287227 -0.04485029 5.178218 1.814208 4.8 2.8847999999995504 4.8 2.8847999999995504 4.8 2.8847999999995504
2800 0.14 0.3133065 -0.01780647 -0.04159901 -0.02466271 5.665219 2.869028 4.8 3.844799999999769 4.8 3.844799999999769 4.8 3.844799999999769
3000 0.15 0.534619 0.007458462 -0.02441533 0.002804676 5.907588 3.942165 0.0 4.795200000000012 0.0 4.795200000000012 0.0 4.795200000000012
3200 0.16 0.7560342 0.03451999 -0.002436649 0.03452963 3.34135 4.596376 0.0 3.8399999999997956 0.0 3.8399999999997956 0.0 3.8399999999997956
3400 0.17 0.8902911 0.0555558 0.02122966 0.06248746 1.81962 4.373251 0.0 2.879999999999577 0.0 2.879999999999577 0.0 2.879999999999577
3600 0.18 0.9149268 0.06857522 0.04080125 0.08055026 1.098562 3.705162 0.0 1.9199999999993589 0.0 1.9199999999993589 0.0 1.9199999999993589
3800 0.19 0.8403339 0.0721317 0.0525498 0.08667262 0.7279483 2.857269 0.0 0.9599999999991407 0.0 0.9599999999991407 0.0 0.9599999999991407
4000 0.2 0.6976882 0.06637168 0.05506297 0.08110048 0.5086647 1.90094 4.8 1.07775122160092e-12 4.8 1.07775122160092e-12 4.8 1.07775122160092e-12
4200 0.21 0.52265 0.05429074 0.04885149 0.06629199 3.149651 1.302257 4.8 0.960000000001296 4.8 0.960000000001296 4.8 0.960000000001296
4400 0.22 0.4204826 0.04452856 0.0378228 0.05127813 4.73547 1.550106 4.8 1.9200000000015143 4.8 1.9200000000015143 4.8 1.9200000000015143
4600 0.23 0.4261943 0.04059627 0.02835394 0.04353362 5.504057 2.257797 4.8 2.8800000000017327 4.8 2.8800000000017327 4.8 2.8800000000017327
4800 0.24 0.5215844 0.04425774 0.02470951 0.04550584 5.904893 3.169897 4.8 3.8400000000019507 4.8 3.8400000000019507 4.8 3.8400000000019507
5000 0.25 0.6798027 0.05578744 0.02861403 0.0577246 6.143743 4.132055 0.0 4.799999999997831 0.0 4.799999999997831 0.0 4.799999999997831
5200 0.26 0.8667132 0.07226005 0.03986034 0.07757321 3.515798 4.733345 0.0 3.8399999999976147 0.0 3.8399999999976147 0.0 3.8399999999976147
5400 0.27 0.9799087 0.0855673 0.05487309 0.09666054 1.939237 4.544456 0.0 2.8799999999973966 0.0 2.8799999999973966 0.0 2.8799999999973966
5600 0.28 0.9829041 0.09241118 0.06753661 0.1076903 1.178157 3.825923 0.0 1.9199999999971782 0.0 1.9199999999971782 0.0 1.9199999999971782
5800 0.29 0.8939072 0.0909904 0.07370529 0.108101 0.7825392 2.952594 0.0 0.9599999999969601 0.0 0.9599999999969601 0.0 0.9599999999969601
6000 0.3 0.7375789 0.08120331 0.0717516 0.09791613 0.5473907 1.962896 4.8 3.257810021750629e-12 4.8 3.257810021750629e-12 4.8 3.257810021750629e-12
6200 0.31 0.551554 0.0658259 0.06192089 0.07935961 3.177505 1.343055 4.8 0.9600000000034761 4.8 0.9600000000034761 4.8 0.9600000000034761
6400 0.32 0.4412679 0.05341858 0.04797374 0.06135284 4.755657 1.577716 4.8 1.9200000000036943 4.8 1.9200000000036943 4.8 1.9200000000036943
6600 0.33 0.4411658 0.04737194 0.03615565 0.05100936 5.518772 2.276922 4.8 2.8800000000039123 4.8 2.8800000000039123 4.8 2.8800000000039123
6800 0.34 0.5324319 0.04950208 0.03067265 0.0515536 5.915671 3.183384 4.8 3.8400000000041308 4.8 3.8400000000041308 4.8 3.8400000000041308
7000 0.35 0.6905112 0.0598523 0.03325306 0.0623908 6.151984 4.181559 0.0 4.79999999999565 0.0 4.79999999999565 0.0 4.79999999999565
7200 0.36 0.8778108 0.07563704 0.04358938 0.0814599 3.522807 4.784601 0.0 3.839999999995432 0.0 3.839999999995432 0.0 3.839999999995432
