0.000000e+00	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
5.000000e-05	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
1.000000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.499966e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
1.500000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.499853e-02	-6.500000e-02	-6.499999e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
2.000000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.499642e-02	-6.500000e-02	-6.499997e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
2.500000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.499315e-02	-6.500000e-02	-6.499991e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
3.000000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.498854e-02	-6.500000e-02	-6.499981e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
3.500000e-04	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.498241e-02	-6.500000e-02	-6.499965e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
4.000000e-04	-6.499999e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.497457e-02	-6.500000e-02	-6.499940e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
4.500000e-04	-6.499999e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.496487e-02	-6.500000e-02	-6.499905e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
5.000000e-04	-6.499998e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.495312e-02	-6.500000e-02	-6.499857e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
5.500000e-04	-6.499998e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.493918e-02	-6.500000e-02	-6.499794e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
6.000000e-04	-6.499996e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.492290e-02	-6.500000e-02	-6.499713e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
6.500000e-04	-6.499995e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.490411e-02	-6.500000e-02	-6.499612e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
7.000000e-04	-6.499993e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.488269e-02	-6.500000e-02	-6.499487e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
7.500000e-04	-6.499990e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.485849e-02	-6.500000e-02	-6.499335e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
8.000000e-04	-6.499986e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.483137e-02	-6.500000e-02	-6.499154e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
8.500000e-04	-6.499982e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.480122e-02	-6.500000e-02	-6.498939e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
9.000000e-04	-6.499977e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.476790e-02	-6.500000e-02	-6.498689e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
9.500000e-04	-6.499971e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.473130e-02	-6.500000e-02	-6.498398e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
1.000000e-03	-6.499963e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.469130e-02	-6.500000e-02	-6.498063e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
1.050000e-03	-6.499954e-02	-6.500000e-02	-6.500000e-02	-6.499999e-02	-6.499999e-02	-6.464779e-02	-6.500000e-02	-6.497681e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
1.100000e-03	-6.499944e-02	-6.500000e-02	-6.500000e-02	-6.499999e-02	-6.499999e-02	-6.460067e-02	-6.500000e-02	-6.497247e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	-6.500000e-02	
